1	FAUL	SPORT	NIESPORTOWE	ZACHOWANIE
2	KUCHARZ	ZAWÓD	KUCHCIK	GARKOTŁUK
3	ŻARÓWKA	RZECZ	ŚWIECI	LED
4	PAPUGA	ZWIERZE	KOLOROWYPTAK	NAŚLADOWCA
5	WARSZAWA	MIASTO	STOLICA	SYRENKA
6	OKULARY	RZECZ	WZROK	HILARY
7	LUSTRO	RZECZ	ODBICIE	PATRZEĆ
8	KALORYFER	RZECZ	CIEPŁO	GRZEJNIK
9	PRALKA	RZECZ	PROSZEK	PRAĆ
10	LORNETKA	RZECZ	ZBLIŻENIE	PATRZEĆ
11	KELNER	ZAWÓD	RESTAURACJA	NOSIĆ
12	ABONAMENT	RZECZ	PRENUMERATA	TVP
13	FARMACEUTA	ZAWÓD	APTEKARZ	PIGULARZ
14	ARKADIA	MIEJSCE	RAJ	GALERIA
15	AUTOGRAF	RZECZ	PODPIS	WŁASNORĘCZNY
16	AUTOSTRADA	RZECZ	HIGHWAY	A1
17	BAJKA	DZIECI	HISTORYJKA	OPOWIADANIE
18	BANDAŻ	RZECZ	OKŁAD	OPATRUNEK
19	KOLARSTWO	DYSCYPLINA	BICYKL	ROWER
20	DYKTAFON	RZECZ	NAGRYWANIE	SZUMIDŁA
21	BAR	MIEJSCE	BISTRO	BUFET
22	DENTYSTA	ZAWÓD	ZĘBY	STOMATOLOG
23	FERIE	DZIECI	WAKACJE	ZIMĄ
24	INFORMATYK	ZAWÓD	KOMPUTEROWIEC	PROGRAMISTA